DAKODA variable;Kurzname;Erläuterung (deu);description (eng);value definition;Kommentar zum Wertebereich;details about the values (eng);default if missing information;repeatable;LC-meta variable;Description ;Condition;Fixed attributes;Further details and examples;Obligatory or not;Repeatable;version of LC-meta;DAKODA different to LC-meta?;why?;note;DAKODA value -> LC-meta  value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_name_dkd;Projektname (DAKODA);Name des Projekts (DAKODA-Version);Name of the project (DAKODA version);Datenkompetenzen in DaF/DaZ: Exploration sprachtechnologischer Ansätze zur Analyse von L2-Erwerbsstufen in Lernerkorpora des Deutschen;;;notAvailable;always the same value;corpus_related_research_project;Name of related research project;;;MERLIN;optional;yes;2, 2024-05-31;dkd;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_name_orig;Projektname (Original-Version);Name des Projekts, der Forschungsgruppe oder der Person, das/die das Korpus erhoben hat;Name of related research project;"string, ""im Rahmen der Dissertation von NAME erstellt"", ""innerhalb von Forschungsgruppe NAME""";;;notAvailable;no;corpus_related_research_project;Name of related research project;;;MERLIN;optional;yes;2, 2024-05-31;orig;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_type_dkd;Art des Projekts (DAKODA);Art des Projekts der DAKODA-Version;Type of project (DAKODA);Bundesministerium für Bildung und Forschung (BMBF);;;notAvailable;always the same value;;;;;;;;;added;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_type_orig;Art des Projekts (Original-Version);Art des Erstellungsprojekts: Förderungsart und Projektnummer des Fördermittelgebers (Original-Version);Type of project: Funding type and project number of the funding organisation (original version);string;;;notAvailable;no;;;;;;;;;added;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_URL_dkd;Projektwebsite (DAKODA);Projektwebsite (DAKODA-Version);Link to related research project (DAKODA version);string (Website);;;notAvailable;no;corpus_related_research_project_URL;Link to related research project;if corpus_related_research_project = [];;https://merlin-platform.eu/;optional;yes;2, 2024-05-31;dkd;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_URL_orig;Projektwebsite (Original-Version);Projektwebsite (Original-Version);Link to related research project (original version);string (Website);;;notAvailable;no;corpus_related_research_project_URL;Link to related research project;if corpus_related_research_project = [];;https://merlin-platform.eu/;optional;yes;2, 2024-05-31;orig;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_subcorpus_signet;Siegel des (Teil-)Korpus in DAKODA;Siegel des (Teil-)Korpus im DAKODA-Repositorium;Seal of the (sub)corpus in the DAKODA repository;string;;;notAvailable;no;;;;;;;;;added;structure;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_subcorpus_size;Speicherplatz/Größe;Speicherplatz/Größe KB, MB, GB, TB oder PB;Storage requirement in KB, MB, GB, TB or PB;;;;notAvailable;no;corpus_size;Corpus size;;;Storage requirement in KB, MB, GB, TB or PB;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_subcorpus_sizeLearners;Anzahl Sprecher/innen Subkorpus;Anzahl der Sprecher:innen im Subkorpus (DAKODA-Version);Number of learners/L1 speakers;number;;;notAvailable;no;corpus_size_learners;Number of learners;;;163;obligatory;no;2, 2024-05-31;same;structure;We divide corpora into subcorpora if they contain a target language other than German and if people have German as L1, L2 or as something undefined;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_subcorpus_sizeTexts;Anzahl Texte Subkorpus;Anzahl der Texte im Subkorpus (DAKODA-Version);Number of learners/L1 speaker productions;number;;;notAvailable;no;corpus_size_texts;Number of learner productions;;;9,529;obligatory;no;2, 2024-05-31;same;structure;We divide corpora into subcorpora if they contain a target language other than German and if people have German as L1, L2 or as something undefined;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_subcorpus_sizeTokens;Anzahl Tokens Subkorpus;Anzahl der Token im Subkorpus (DAKODA-Version);Number of tokens;number;;;notAvailable;no;corpus_size_tokens;Number of tokens;;;Only count learner language but not prompts, interviewers, etc.;obligatory;no;2, 2024-05-31;same;structure;We divide corpora into subcorpora if they contain a target language other than German and if people have German as L1, L2 or as something undefined;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_subcorpus_targetLanguage;Zielsprache des Subkorpus;Zielsprache des hier ausgezeichneten Subkorpus: Für DAKODA immer Deutsch;Target language;ISO 639-3;;;notAvailable;no;corpus_target_language;Target language;;[ISO language code 639-3], other;"en; use “other” for under-represented Ls";obligatory;yes;2, 2024-05-31;differently defined;structure;We divide corpora into subcorpora if they contain a target language other than German and if people have German as L1, L2 or as something undefined;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_id;Sprecher-ID;Personen-ID (DAKODA-Version);Unique identifier;string;;;No missing values permitted.;no;learner_id;Unique identifier;;;;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_id_orig;Sprecher-ID (Original-Version);Sprecher-ID(s) (Original-Version);Unique identifier(s) for the learner (original version);string;Wenn mehrere Identifier oder Pseudonyme im Originalkorpus verwendet werden, können mehrere Werte eingetragen werden.;If several identifiers or pseudonyms are used in the original corpus, several values can be entered.;notAvailable;yes;learner_id;Unique identifier;;;;obligatory;no;2, 2024-05-31;orig;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_dominantWordOrder;Wortstellungstyp der L2;Wortstellungstyp der L2 nach WALS;Word order type of L2 according to WALS;SVO, VSO, OVS, no dominant word order, unclear;;;notAvailable;yes;;;;;;;;;added;DAKODA research;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_exposure_durationOfInstruction;Dauer des Sprachunterrichts;Anzahl der Monate von Fremd- bzw. Zweitsprache-Unterricht;Number of months of foreign or second language lessons;number;;"""notAvailable"", unless otherwise specified";notAvailable;no;learner_target_language_learning_context;"Learning context of target language from onset to current age
";;;"Use tuples and choose among instructed, immersive and naturalistic; e.g. {12- 20: instructed}";optional;yes;2, 2024-05-31;"differently defined; different values";rarely documented;"""language_learning_context"" ist often too specific";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_exposure_durationOfUse;Nutzungsdauer;Anzahl der Monate, in denen Sprache genutzt wurde;Number of months in which learner used the language;number;;;notAvailable;no;learner_target_language_learning_context;"Learning context of target language from onset to current age
";;;"Use tuples and choose among instructed, immersive and naturalistic; e.g. {12- 20: instructed}";optional;yes;2, 2024-05-31;"differently defined; different values";rarely documented;"""language_learning_context"" ist often too specific";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_exposure_input;Typ des Inputs;Typ des Inputs, durch welchen Sprecher:in hauptsächlich Kontakt mit der Sprache hat(te);Type of input through which learner mainly has/had contact with the language;mainly without controlled teaching processes, mainly in controlled teaching contexts, hybrid;;;"IF L1: mainly without controlled teaching processes; IF L2: notAvailable";no;learner_target_language_learning_context;"Learning context of target language from onset to current age
";;;"Use tuples and choose among instructed, immersive and naturalistic; e.g. {12- 20: instructed}";optional;yes;2, 2024-05-31;"differently defined; different values";rarely documented;"""language_learning_context"" ist often too specific";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_exposure_institution;Typ der Institution des Unterrichts;Typ der Institution, in der die Sprache erlernt wurde;Type of institution where learner mainly learns/learnt the language;language school, school, university, other;;;notAvailable;yes;learner_target_language_learning_context;"Learning context of target language from onset to current age
";;;"Use tuples and choose among instructed, immersive and naturalistic; e.g. {12- 20: instructed}";optional;yes;2, 2024-05-31;"differently defined; different values";more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_exposure_learningContext;Lernkontexte;Auflistung der Lernkontexte von Erwerbsbeginn bis zum Alter der Datenerhebung;"Learning context of target language from onset to current age
";"Use tuples and choose among instructed, immersive and naturalistic; e.g. {12-20: instructed}";;;notAvailable;yes;learner_target_language_learning_context;"Learning context of target language from onset to current age
";;;"Use tuples and choose among instructed, immersive and naturalistic; e.g. {12- 20: instructed}";optional;yes;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_exposure_monthsSpentEnvironment;Aufenthaltsdauer in Ländern, in denen Sprache gesprochen wird;Anzahl der Monate des Aufenthalts in Ländern, in denen die Sprache gesprochen wird;"Cumulated time spent in an environment where language is spoken in months
";number;;;notAvailable;no;months_spent_target_language_country;cumulated time spent in a country where L2 is spoken in months;;;;optional;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_exposure_onset;Age of Onset;Alter der Person bei Beginn des Spracherwerbs;"Age of onset of acquisition
";number;;;notAvailable;no;learner_target_language_onset;Age of onset of acquisition;"for each ""learner_L2""";;;optional;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_exposure_placeAcquisition;Spracherwerbsort;Ort, an dem Sprache hauptsächlich erlernt wurde ;Place where learner mainly learns/learnt the language;"ISO 3166-ALPHA-3; within German-speaking countries; outside German-speaking countries; hybrid";;;notAvailable;no;;;;;;;;;added;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_exposure_wasInEnvironment;War der/die Lerner/-in zum Erhebungszeitpunkt in einem Land, in dem die Sprache gesprochen wird?;War der/die Lerner/-in zum Erhebungszeitpunkt in einem Land, in dem die Sprache gesprochen wird?;Was the learner/L1 speaker in a country/region where the target language is spoken at the time of data collection?;yes, no;;;"IF target language: notAvailable; IF ELSE: notApplicable";no;learner_target_language_environment;Was the learner in a country/region where the target language is spoken at the time of data collection?;;yes, no;;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_exposure_wasInstructed;Besuchte die/der Lerner/-in zum Erhebungszeitpunkt Sprachunterricht?;Besuchte die/der Lerner/-in zum Zeitpunkt der Datenerhebung regelmäßig Sprachunterricht?;Was the learner in an instructed language learning context at the time of data collection?;yes, no;;;"IF target language: notAvailable; IF ELSE: notApplicable";no;learner_target_language_instructed;Was the learner in an instructed learning context at the time of data collection?;;yes, no;;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_group;Sprachfamilie;Sprachfamilie nach WALS;"language genus according to WALS
";string;;;notAvailable;no;;;;;;;;;added;DAKODA research;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_iso6393;Zielsprache;Code nach ISO 639-3 für die Sprache;Code according to ISO 639-3 for the language;[ISO language code 639-3];;;notAvailable;no;learner_target_language;"Learner target language
";;[ISO language code 639-3];;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_isSpokenHome;War/Ist Sprache auch Familiensprache? ;Wurde/wird die Sprache zu Hause/mit der Familie gesprochen?;Was/is the language spoken at home/with the family?;yes, no;;;notAvailable;no;learner_home_language;"Language spoken at home
";;[ISO language code 639-3];Use tuple of (language ISO code, percentage) if you want to add more info;optional;yes;2, 2024-05-31;differently defined;#;#;see learner_language_iso6393 and learner_language_IsSpokenhome;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_isSpokenSchool;War/Ist Sprache auch Unterrichtssprache? ;War/Ist Sprache auch Unterrichtssprache an der Schule? ;Was/is the language spoken in school lessons?;yes, no;;;notAvailable;no;learner_language_education_secondary;"Language of education (secondary school)
";;[ISO language code 639-3];Use tuple of (language ISO code, percentage) if you want to add more info;optional;yes;2, 2024-05-31;"differently defined; different values";rarely documented;"""learner_language_education_primary/secondary/higher"" is often too specific";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_IsTarget;Ist die Sprache im Korpus vertreten?;Ist für die Sprache ein Text im Korpus vorhanden?;Is there a text for the language in the corpus?;yes, no;;;notAvailable;no;;;;;;;;;added;differen structure;same variables for L1/L2/target language;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_parentL1;L1 des Vaters;Welche der Elternteile hat die Sprache gesprochen?;Which of the parents spoke the language?;"mother; father; not specified attachment figure; none";;;notAvailable;yes;learner_parent_L1;"Parent L1
";;[ISO language code 639-3];"Use tuple of (parent, language ISO code) if you want to add more info, e.g. [mother, eng], [father, spa]; [mother, eng], [mother2, ger]";optional;yes;2, 2024-05-31;differently defined;structure;#;see learner_language_iso6393 and learner_language_IsSpokenhome;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_assignmentInstrument;Instrument der Bewertung;Instrument der lernerbezogenen Sprachkompetenzbewertung;Name of instrument used to evaluate learners’ proficiency;string;;;notAvailable;no;corpus_learner_proficiency_assignment_instrument;Name of instrument used to evaluate learners’ proficiency;"if corpus_learner_proficiency_assignment_method=""independent instrument"" OR "" total test score""";;Oxford Quick Placement Test, DIALANG, Vocabulary Level Test, Cambridge English, TOEFL, IELTS, in-house…;obligatory;yes;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_assignmentMethod;Art der Bewertung;Art der lernerbezogenen Bewertung;How was the proficiency of the learner evaluated?;independent instrument, total test score, other;;"Select ""total test score"" for contexts where the text was written for an official language test with other components";notAvailable;no;corpus_learner_proficiency_assignment_method;How was the proficiency of the learners evaluated?;"if corpus_proficiency_assignment_method=""learner-centred method""";independent instrument, total test score, other;"Select ""total test score"" for contexts where the text was written for an official language test with other components";obligatory;yes;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_cefrMax;GER-Bewertung;"jegliche Art von Sprachkompetenzmessung des/der Lerner/-in als GER-Niveaustufe. Wenn das Niveau nicht genau angegeben werden kann, wird hier die obere Grenze der Kompetenz angegeben, bei ""B2-C1"" also C1.";"learners' language proficiency (CEFR). If the level cannot be specified precisely, the upper limit of the estimated competence is given here: (""B2-C1""->""C1"")";A1, A2, B1, B2, C1, C2;;;notAvailable;no;learner_target_language_proficiency_CEFR_conversion;Learner proficiency (CEFR);"for each ""learner_L2""";A1, A2, B1, B2, C1, C2;If possible, provide proficiency converted to CEFR;optional;no;2, 2024-05-31;same;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_cefrMin;GER-Bewertung;"jegliche Art von Sprachkompetenzmessung des/der Lerner/-in als GER-Niveaustufe. Wenn das Niveau nicht genau angegeben werden kann, wird hier die untere Grenze der Kompetenz angegeben, bei ""B2-C1"" also B2.";"learners' language proficiency (CEFR). If the level cannot be specified precisely, the lower limit of the estimated competence is given here: (""B2-C1""->""B2"")";A1, A2, B1, B2, C1, C2;;;notAvailable;no;learner_target_language_proficiency_CEFR_conversion;Learner proficiency (CEFR);"for each ""learner_L2""";A1, A2, B1, B2, C1, C2;If possible, provide proficiency converted to CEFR;optional;no;2, 2024-05-31;same;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_cTestCefrMax;C-Test-GER-Niveau;"Niveaustufe bei GER-bezogenen C-Tests. Wenn das Niveau nicht genau angegeben werden kann, wird hier die obere Grenze der Kompetenz angegeben, bei ""B2-C1"" also C1.";"Level of CEFR-related c-tests. If the level cannot be specified precisely, the upper limit of the estimated competence is given here: (""B2-C1""->""C1"")";A1, A2, B1, B2, C1, C2;;;notAvailable;no;learner_target_language_proficiency_CEFR_conversion;Learner proficiency (CEFR);"for each ""learner_L2""";A1, A2, B1, B2, C1, C2;If possible, provide proficiency converted to CEFR;optional;no;2, 2024-05-31;differently defined;more precise;separate variables for c-test results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_cTestCefrMin;C-Test-GER-Niveau;"Niveaustufe bei GER-bezogenen C-Tests. Wenn das Niveau nicht genau angegeben werden kann, wird hier die untere Grenze der Kompetenz angegeben, bei ""B2-C1"" also B2.";"Level of CEFR-related c-tests.  If the level cannot be specified precisely, the lower limit of the estimated competence is given here: (""B2-C1""->""B2"")";A1, A2, B1, B2, C1, C2;;;notAvailable;no;learner_target_language_proficiency_CEFR_conversion;Learner proficiency (CEFR);"for each ""learner_L2""";A1, A2, B1, B2, C1, C2;If possible, provide proficiency converted to CEFR;optional;no;2, 2024-05-31;differently defined;more precise;separate variables for c-test results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_cTestLevelDetail;C-Test-Stufe detailliert;detaillierte C-Test-Niveaustufe;Detailed c-test level;string;;;notAvailable;no;learner_target_language_proficiency;"Learner proficiency
";"if corpus_proficiency_assignment_method = ""learner-centred"" ";;Results of language test, in-house test, or self-assessment;obligatory;yes;2, 2024-05-31;differently defined;more precise;separate variables for c-test results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_cTestPercent;C-Test-Ergebnis in Prozent;C-Test-Ergebnis in Prozent;c-test result in per cent;%;;;notAvailable;no;learner_target_language_proficiency;"Learner proficiency
";"if corpus_proficiency_assignment_method = ""learner-centred"" ";;Results of language test, in-house test, or self-assessment;obligatory;yes;2, 2024-05-31;differently defined;more precise;separate variables for c-test results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_cTestType;C-Test-Typ;Name des C-Tests;Name of the c-test;string;;;notAvailable;no;corpus_learner_proficiency_assignment_instrument;Name of instrument used to evaluate learners’ proficiency;"if corpus_learner_proficiency_assignment_method=""independent instrument"" OR "" total test score""";;Oxford Quick Placement Test, DIALANG, Vocabulary Level Test, Cambridge English, TOEFL, IELTS, in-house…;obligatory;yes;2, 2024-05-31;differently defined;more precise;separate variables for c-test results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_documentation;Dokumentation zu Sprachkompetenzangabe;Verweis auf Dokumentation dazu, wie die lernerbezogene Sprachkompetenzbewertung stattgefunden hat;Link to relevant documentation on how learners were evaluated;string;;;notAvailable;no;corpus_learner_proficiency_documentation;Link to relevant documentation on how learners were evaluated;"if corpus_proficiency_assignment_method=""learner-centred method""";;;optional;yes;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_estimateMax;geschätzte maximale Kompetenz;"näherungsweise Angabe zur Sprachkompetenz des/der Sprecher/-in; basierend wenn möglich auf GeR-bezogener Textbewertung; sonst lerner-bezogene Bewertung, Curriculum der Schule, Universität oder Sprachschule oder Einschätzung der Korpusautor:innen. Wenn das Niveau nicht genau einer Stufe zugeordnet werden kann, wird hier die obere Grenze der geschätzten Kompetenz angegeben.";"Approximate indication of the speaker's language competence; based on GeR-related text assessment if possible; otherwise learner-related assessment, school, university or language school curriculum or corpus author's assessment. If the level cannot be precisely assigned to a level, the upper limit of the estimated competence is given here.";A1, A2, B1, B2, C1, C2;;;notAvailable;no;;;;;;;;;added;rarely documented;Here we merge all hints to the proficiency in one variable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_estimateMin;geschätzte minimale Kompetenz;"näherungsweise Angabe zur Sprachkompetenz des/der Sprecher/-in; basierend wenn möglich auf GeR-bezogener Textbewertung; wenn nicht, basierend auf C-Test-Ergebnis oder duration of use (0-2 Jahre = A1, 2-5 Jahre = B1, >5  Jahre = C1). Wenn das Niveau nicht genau angegeben werden kann, wird hier die untere Grenze der geschätzten Kompetenz angegeben.";"Approximate indication of the speaker's language competence; based on GeR-related text assessment if possible; otherwise learner-related assessment, school, university or language school curriculum or corpus author's assessment. If the level cannot be precisely assigned to a level, the lower limit of the estimated competence is given here.";A1, A2, B1, B2, C1, C2;;;notAvailable;no;;;;;;;;;added;rarely documented;Here we merge all hints to the proficiency in one variable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_score;Prüfungsbewertung;Note, Punktanzahl oder schriftliches Urteil einer absolvierten Zweit- oder Fremdsprachenprüfung (nicht harmonisierte Werte);Grade, number of points or written assessment of a completed second or foreign language examination (non-harmonised values);string/number;;;notAvailable;no;learner_target_language_proficiency;"Learner proficiency
";"for each ""learner_L2""";;Results of language test, in-house test, or self-assessment;optional;no;2, 2024-05-31;more precisely described;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_proficiency_selfAssessment;Selbsteinschätzung;Selbsteinschätzung der Sprachkenntnisse;Self-assessment of language skills;string;;;notAvailable;no;learner_L2_language_proficiency;"Learner proficiency
";"for each ""learner_L2""";;Results of language test, in-house test, or self-assessment;optional;no;2, 2024-05-31;"differently defined; different values";more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_language_status;Sprachstatus;Welchen Status hat die Sprache für die/den Lerner/in?;What status does the language have for the learner?;L1, L2, heritage language, other;;;notAvailable;no;;;;;;;;;added;differen structure;same variables for L1/L2/target language;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_lCount;Anzahl gesprochener Sprachen inklusive L1;Anzahl gesprochener Sprachen inklusive L1;Number of languages spoken including L1;number;;;notAvailable;no;;;;;;;;;added;user-friendly;Like this you do not have to count yourself;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_multipleL1;Hat der/die Sprecher/-in mehr als eine L1?;Hat der/die Sprecher/-in mehr als eine L1?;Does the learner have more than one L1?;yes, no;;;notAvailable;no;;;;;;;;;added;user-friendly;Like this you do not have to count yourself;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_note;Kommentar zum/zur Sprecher/-in;Kommentar zum/zur Sprecher/-in;Any comments regarding this learner/L1 speaker;string;;;notAvailable;no;learner_note;Any comments regarding this learner;;;This could include a learner biography, more details about their mutlingual profile, etc.;optional;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_socio_ageProduction;Alter;Alter in Jahren der/des Sprecher/-in zum Zeitpunkt der Produktion;Age at text production;number;;;notAvailable;no;learner_age;Age at text production;;;;obligatory;no;2, 2024-05-31;same;level;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_socio_birthplace;Geburtsort ;Geburtsort der/des Sprecher/-in;Place of birth of the speaker;"ISO 3166-ALPHA-3; within German-speaking countries; outside German-speaking countries; hybrid";;;notAvailable;no;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_socio_country;Herkunftsland;Land, in dem Sprecher/-in den Großteil seiner/ihrer Kindheit bis 18 Jahre verbracht hat;Country in which the learner spent most of his/her childhood up to 18 years;"ISO 3166-ALPHA-3; within German-speaking countries; outside German-speaking countries; hybrid";;;notAvailable;no;learner_country;Country;;ISO 3166 country codes;;optional;no;2, 2024-05-31;more precisely described;more precise;Country where learner spent most of his/her childhood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_socio_educationalBackground;höchster Bildungsabschluss;Höchster bereits erreichter Bildungsabschluss;Highest educational qualification already achieved;early childhood, primary, lower secondary, upper secondary, post-secondary non-tertiary, short-cycle tertiary, Bachelor, Master, Doctorate;;In DAKODA, we match the school grades to the educational levels as follows: 1-4: primary, 5-7: lower secondary, 8+: upper secondary ;notAvailable;no;learner_educational_background;Highest level of education;;no schooling, early childhood education, primary education, lower secondary education, upper secondary education, post-secondary non-tertiary education, short-cycle tertiary education, Bachelor's degree or equivalent level, Master's degree or equivalent level, Doctoral degree or equivalent level, not elsewhere classified;;optional;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
learner_socio_gender;Geschlecht;Geschlecht;learner/L1 speaker gender;female, male, non-binary;;;notAvailable;no;learner_gender;learner_gender;Gender;;female, male, non-binary;;obligatory;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
